"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jun 12 02:50:00 GMT 2023","Mon Jun 12 02:50:00 GMT 2023","3","CONTAINER-MSSQL","Retrieve version MSSQL","","","","Retrieve version MSSQL",""
"passed","Mon Jun 12 02:51:09 GMT 2023","Mon Jun 12 02:51:15 GMT 2023","5776","ADD_DELETE_UPDATE_WEBTABLE_DATA","Delete the third entry in the web table","","","","Delete the third entry in the web table",""
"passed","Mon Jun 12 02:50:00 GMT 2023","Mon Jun 12 02:50:00 GMT 2023","261","API_CALLS","Rename a pet in petstore API","","","","Rename a pet in petstore API",""
"passed","Mon Jun 12 02:51:54 GMT 2023","Mon Jun 12 02:52:00 GMT 2023","5881","ALERT_AND_POPUP_DISPLAY","Check different alerts popins are displayed","","","","Check different alerts popins are displayed",""
"unknown","Mon Jun 12 02:56:04 GMT 2023","Mon Jun 12 02:56:08 GMT 2023","3906","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Checking a date via date picker using calendar module","","","","Checking a date via date picker using calendar module",""
"passed","Mon Jun 12 02:51:26 GMT 2023","Mon Jun 12 02:51:32 GMT 2023","5427","ADD_DELETE_UPDATE_WEBTABLE_DATA","Download a file online","","","","Download a file online",""
"passed","Mon Jun 12 02:51:03 GMT 2023","Mon Jun 12 02:51:09 GMT 2023","6494","ADD_DELETE_UPDATE_WEBTABLE_DATA","Edit the first entry in the web table","","","","Edit the first entry in the web table",""
"unknown","Mon Jun 12 02:54:45 GMT 2023","Mon Jun 12 02:54:48 GMT 2023","3713","WIDGET_DISPLAY_AND_MENUS","Navigate using in-page tab contents on click","","","","Navigate using in-page tab contents on click",""
"passed","Mon Jun 12 02:52:25 GMT 2023","Mon Jun 12 02:52:34 GMT 2023","9526","BROWSER_WINDOWS_AND_TABS","Redirection to a new window when clicking on ""New Window"" button","","","","Redirection to a new window when clicking on ""New Window"" button",""
"unknown","Mon Jun 12 02:54:21 GMT 2023","Mon Jun 12 02:54:21 GMT 2023","6","FRAMES","Check multiple frames are displayed properly","","","","Check multiple frames are displayed properly",""
"passed","Mon Jun 12 02:52:05 GMT 2023","Mon Jun 12 02:52:15 GMT 2023","9822","ALERT_AND_POPUP_DISPLAY","Check different modals dialogs popin are displayed","","","","Check different modals dialogs popin are displayed",""
"passed","Mon Jun 12 02:51:15 GMT 2023","Mon Jun 12 02:51:21 GMT 2023","5500","ADD_DELETE_UPDATE_WEBTABLE_DATA","Search Kierra entry in the web table","","","","Search Kierra entry in the web table",""
