"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Mon Aug 19 02:37:30 GMT 2024","Mon Aug 19 02:37:33 GMT 2024","2827","WIDGET_DISPLAY_AND_MENUS","Open only the selected accordian section on click","","","","Open only the selected accordian section on click",""
"passed","Mon Aug 19 02:35:40 GMT 2024","Mon Aug 19 02:35:44 GMT 2024","4483","ADD_DELETE_UPDATE_WEBTABLE_DATA","Download a file online","","","","Download a file online",""
"passed","Mon Aug 19 02:34:38 GMT 2024","Mon Aug 19 02:34:39 GMT 2024","434","APIs","petstore","","","","Rename a pet in petstore API",""
"passed","Mon Aug 19 02:35:32 GMT 2024","Mon Aug 19 02:35:36 GMT 2024","3862","ADD_DELETE_UPDATE_WEBTABLE_DATA","Search Kierra entry in the web table","","","","Search Kierra entry in the web table",""
"passed","Mon Aug 19 02:36:37 GMT 2024","Mon Aug 19 02:36:42 GMT 2024","4937","UI","popup","","","","Display checkbox folders and sub-folders when checked",""
"skipped","Mon Aug 19 02:34:39 GMT 2024","Mon Aug 19 02:34:39 GMT 2024","2","CONTAINER-MSSQL","Retrieve version MSSQL","","","","Retrieve version MSSQL",""
"passed","Mon Aug 19 02:36:13 GMT 2024","Mon Aug 19 02:36:21 GMT 2024","8454","BROWSER_WINDOWS_AND_TABS","Redirection to a new tab when clicking on ""New Tab"" button","","","","Redirection to a new tab when clicking on ""New Tab"" button",""
"passed","Mon Aug 19 02:34:38 GMT 2024","Mon Aug 19 02:34:38 GMT 2024","276","APIs","petstore","","","","Search a pet in petstore API",""
"passed","Mon Aug 19 02:37:19 GMT 2024","Mon Aug 19 02:37:24 GMT 2024","5649","UI","popup","","","","Fill a complete form using external json data",""
"passed","Mon Aug 19 02:38:36 GMT 2024","Mon Aug 19 02:38:40 GMT 2024","3959","WIDGET_DISPLAY_AND_MENUS","Display information tooltips on hover for designated element","","","","Display information tooltips on hover for designated element",""
"passed","Mon Aug 19 02:35:24 GMT 2024","Mon Aug 19 02:35:28 GMT 2024","4206","ADD_DELETE_UPDATE_WEBTABLE_DATA","Edit the first entry in the web table","","","","Edit the first entry in the web table",""
"passed","Mon Aug 19 02:38:56 GMT 2024","Mon Aug 19 02:39:00 GMT 2024","3831","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Click on ""Start"" to fill up the progress bar","","","","Click on ""Start"" to fill up the progress bar",""
"passed","Mon Aug 19 02:35:11 GMT 2024","Mon Aug 19 02:35:15 GMT 2024","3804","UI","popup","","","","Check API response by clicking on links",""
"passed","Mon Aug 19 02:36:21 GMT 2024","Mon Aug 19 02:36:29 GMT 2024","7803","BROWSER_WINDOWS_AND_TABS","Redirection to a new window when clicking on ""New Window"" button","","","","Redirection to a new window when clicking on ""New Window"" button",""
"failed","Mon Aug 19 02:37:48 GMT 2024","Mon Aug 19 02:38:24 GMT 2024","35190","WIDGET_DISPLAY_AND_MENUS","Fill all the select fields displayed","","","","Fill all the select fields displayed",""
