"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Wed Aug 07 02:38:08 GMT 2024","Wed Aug 07 02:38:11 GMT 2024","2723","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Checking a date via date picker using calendar module","","","","Checking a date via date picker using calendar module",""
"passed","Wed Aug 07 02:34:39 GMT 2024","Wed Aug 07 02:34:43 GMT 2024","4543","ADD_DELETE_UPDATE_WEBTABLE_DATA","Search Kierra entry in the web table","","","","Search Kierra entry in the web table",""
"passed","Wed Aug 07 02:35:45 GMT 2024","Wed Aug 07 02:35:51 GMT 2024","6277","UI","popup","","","","Display checkbox folders and sub-folders when checked",""
"passed","Wed Aug 07 02:33:40 GMT 2024","Wed Aug 07 02:33:41 GMT 2024","347","APIs","petstore","","","","Create a new pet in petstore API",""
"unknown","Wed Aug 07 02:38:14 GMT 2024","Wed Aug 07 02:38:18 GMT 2024","4163","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Change input value by clicking on the slider bar","","","","Change input value by clicking on the slider bar",""
"passed","Wed Aug 07 02:36:29 GMT 2024","Wed Aug 07 02:36:34 GMT 2024","5001","DRAG_AND_DROP","Drag and drop a draggable element into another","","","","Drag and drop a draggable element into another",""
"unknown","Wed Aug 07 02:38:05 GMT 2024","Wed Aug 07 02:38:08 GMT 2024","3423","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Checking a date via date picker using input field","","","","Checking a date via date picker using input field",""
"passed","Wed Aug 07 02:37:01 GMT 2024","Wed Aug 07 02:37:06 GMT 2024","4554","WIDGET_DISPLAY_AND_MENUS","Navigate using in-page menu and sub-menu contents on hover","","","","Navigate using in-page menu and sub-menu contents on hover",""
"passed","Wed Aug 07 02:35:07 GMT 2024","Wed Aug 07 02:35:11 GMT 2024","3934","ALERT_AND_POPUP_DISPLAY","Check different alerts popins are displayed","","","","Check different alerts popins are displayed",""
"passed","Wed Aug 07 02:37:57 GMT 2024","Wed Aug 07 02:38:01 GMT 2024","4186","WIDGET_DISPLAY_AND_MENUS","Display information tooltips on hover for designated element","","","","Display information tooltips on hover for designated element",""
"passed","Wed Aug 07 02:38:18 GMT 2024","Wed Aug 07 02:38:22 GMT 2024","4187","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Click on ""Start"" to fill up the progress bar","","","","Click on ""Start"" to fill up the progress bar",""
"failed","Wed Aug 07 02:33:41 GMT 2024","Wed Aug 07 02:33:41 GMT 2024","396","APIs","petstore","","","","Search a pet in petstore API",""
"passed","Wed Aug 07 02:33:41 GMT 2024","Wed Aug 07 02:33:41 GMT 2024","207","APIs","petstore","","","","Rename a pet in petstore API",""
"unknown","Wed Aug 07 02:36:46 GMT 2024","Wed Aug 07 02:36:48 GMT 2024","2819","WIDGET_DISPLAY_AND_MENUS","Open only the selected accordian section on click","","","","Open only the selected accordian section on click",""
"passed","Wed Aug 07 02:36:15 GMT 2024","Wed Aug 07 02:36:19 GMT 2024","4148","UI","popup","","","","Display button click when clicked on",""
"passed","Wed Aug 07 02:34:29 GMT 2024","Wed Aug 07 02:34:34 GMT 2024","5537","ADD_DELETE_UPDATE_WEBTABLE_DATA","Edit the first entry in the web table","","","","Edit the first entry in the web table",""
"passed","Wed Aug 07 02:34:23 GMT 2024","Wed Aug 07 02:34:29 GMT 2024","5336","ADD_DELETE_UPDATE_WEBTABLE_DATA","Add a new entry to web table","","","","Add a new entry to web table",""
"passed","Wed Aug 07 02:34:34 GMT 2024","Wed Aug 07 02:34:39 GMT 2024","4370","ADD_DELETE_UPDATE_WEBTABLE_DATA","Delete the third entry in the web table","","","","Delete the third entry in the web table",""
"passed","Wed Aug 07 02:33:42 GMT 2024","Wed Aug 07 02:33:49 GMT 2024","6577","UI","popup","","","","Redirection to a new page when clicking on link (tabs and windows)",""
"passed","Wed Aug 07 02:35:37 GMT 2024","Wed Aug 07 02:35:45 GMT 2024","7793","BROWSER_WINDOWS_AND_TABS","Opening a new window with text when clicking on ""New Window Message"" button","","","","Opening a new window with text when clicking on ""New Window Message"" button",""
"unknown","Wed Aug 07 02:36:58 GMT 2024","Wed Aug 07 02:37:01 GMT 2024","3597","WIDGET_DISPLAY_AND_MENUS","Navigate using in-page tab contents on click","","","","Navigate using in-page tab contents on click",""
"passed","Wed Aug 07 02:36:34 GMT 2024","Wed Aug 07 02:36:40 GMT 2024","6351","UI","popup","","","","Fill a complete form using external json data",""
"passed","Wed Aug 07 02:34:17 GMT 2024","Wed Aug 07 02:34:23 GMT 2024","5830","UI","popup","","","","Check broken links returns an error 500",""
"passed","Wed Aug 07 02:38:01 GMT 2024","Wed Aug 07 02:38:05 GMT 2024","4176","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Check suggestions when using autocomplete on input field","","","","Check suggestions when using autocomplete on input field",""
"passed","Wed Aug 07 02:36:19 GMT 2024","Wed Aug 07 02:36:29 GMT 2024","9417","UI","popup","","","","Check dynamic elements change properties after 5 seconds",""
"passed","Wed Aug 07 02:36:11 GMT 2024","Wed Aug 07 02:36:15 GMT 2024","4116","UI","popup","","","","Display radio button text when selected",""
"unknown","Wed Aug 07 02:38:11 GMT 2024","Wed Aug 07 02:38:14 GMT 2024","2923","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Change input value by moving the slider","","","","Change input value by moving the slider",""
