"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","UI: Widget input management","","4","0","2","0","2"
"","UI: Elements inputs management","","4","0","2","0","0"
"","UI: Form management","","0","0","1","0","0"
"","UI: Button_management","","2","0","2","0","0"
"","UI: Links_management","","0","0","3","0","0"
"","API: petstore api test","","0","0","4","0","0"
"","UI: Popup management","","1","0","1","0","0"
"","UI: Frame management","","0","0","0","0","2"
"","UI: Widget display management","","3","0","1","0","1"
"","DATA: Connect to Database MSSQL","","0","0","0","1","0"
"","DATA: Connect to Database Mysql","","0","0","0","1","0"
"","UI: Windows and tabs management","","1","0","2","0","0"
"","UI: Drag and Drop management","","0","0","1","0","0"
