"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 15 02:28:53 GMT 2023","Fri Dec 15 02:29:23 GMT 2023","30819","ACCESS_LINKS","Check API response by clicking on links","","","","Check API response by clicking on links",""
"failed","Fri Dec 15 02:45:50 GMT 2023","Fri Dec 15 02:46:20 GMT 2023","30806","WIDGET_DISPLAY_AND_MENUS","Fill all the select fields displayed","","","","Fill all the select fields displayed",""
"failed","Fri Dec 15 02:47:57 GMT 2023","Fri Dec 15 02:48:28 GMT 2023","30815","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Check suggestions when using autocomplete on input field","","","","Check suggestions when using autocomplete on input field",""
"skipped","Fri Dec 15 02:25:17 GMT 2023","Fri Dec 15 02:25:17 GMT 2023","1","CONTAINER-MYSQL","Retrieve version Mysql","","","","Retrieve version Mysql",""
"failed","Fri Dec 15 02:39:09 GMT 2023","Fri Dec 15 02:39:40 GMT 2023","30846","CLICK_ON_DIFFERENT_BUTTON_TYPES","Display radio button text when selected","","","","Display radio button text when selected",""
"failed","Fri Dec 15 02:40:41 GMT 2023","Fri Dec 15 02:41:12 GMT 2023","30845","DRAG_AND_DROP","Drag and drop a draggable element into another","","","","Drag and drop a draggable element into another",""
"failed","Fri Dec 15 02:39:40 GMT 2023","Fri Dec 15 02:40:10 GMT 2023","30872","CLICK_ON_DIFFERENT_BUTTON_TYPES","Display button click when clicked on","","","","Display button click when clicked on",""
"failed","Fri Dec 15 02:47:26 GMT 2023","Fri Dec 15 02:47:57 GMT 2023","30762","WIDGET_DISPLAY_AND_MENUS","Display information tooltips on hover for designated element","","","","Display information tooltips on hover for designated element",""
"failed","Fri Dec 15 02:29:23 GMT 2023","Fri Dec 15 02:29:54 GMT 2023","30747","ACCESS_LINKS","Check broken links returns an error 500","","","","Check broken links returns an error 500",""
"failed","Fri Dec 15 02:49:29 GMT 2023","Fri Dec 15 02:50:00 GMT 2023","30686","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Change input value by moving the slider","","","","Change input value by moving the slider",""
"failed","Fri Dec 15 02:32:28 GMT 2023","Fri Dec 15 02:32:59 GMT 2023","30895","ADD_DELETE_UPDATE_WEBTABLE_DATA","Download a file online","","","","Download a file online",""
"failed","Fri Dec 15 02:37:06 GMT 2023","Fri Dec 15 02:37:36 GMT 2023","30818","BROWSER_WINDOWS_AND_TABS","Opening a new window with text when clicking on ""New Window Message"" button","","","","Opening a new window with text when clicking on ""New Window Message"" button",""
"unknown","Fri Dec 15 02:41:43 GMT 2023","Fri Dec 15 02:41:43 GMT 2023","1","FRAMES","Check frames nested are displayed properly","","","","Check frames nested are displayed properly",""
"failed","Fri Dec 15 02:29:54 GMT 2023","Fri Dec 15 02:30:25 GMT 2023","30822","ADD_DELETE_UPDATE_WEBTABLE_DATA","Add a new entry to web table","","","","Add a new entry to web table",""
"failed","Fri Dec 15 02:42:45 GMT 2023","Fri Dec 15 02:43:15 GMT 2023","30736","WIDGET_DISPLAY_AND_MENUS","Open only the selected accordian section on click","","","","Open only the selected accordian section on click",""
"passed","Fri Dec 15 02:25:16 GMT 2023","Fri Dec 15 02:25:17 GMT 2023","403","API_CALLS","Delete a pet in petstore API","","","","Delete a pet in petstore API",""
"failed","Fri Dec 15 02:50:31 GMT 2023","Fri Dec 15 02:51:02 GMT 2023","30821","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Click on ""Start"" to fill up the progress bar","","","","Click on ""Start"" to fill up the progress bar",""
"failed","Fri Dec 15 02:31:27 GMT 2023","Fri Dec 15 02:31:57 GMT 2023","30906","ADD_DELETE_UPDATE_WEBTABLE_DATA","Search Kierra entry in the web table","","","","Search Kierra entry in the web table",""
"failed","Fri Dec 15 02:31:57 GMT 2023","Fri Dec 15 02:32:28 GMT 2023","30785","ADD_DELETE_UPDATE_WEBTABLE_DATA","Upload a file and check file path","","","","Upload a file and check file path",""
"failed","Fri Dec 15 02:48:28 GMT 2023","Fri Dec 15 02:48:59 GMT 2023","30836","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Checking a date via date picker using input field","","","","Checking a date via date picker using input field",""
"passed","Fri Dec 15 02:25:16 GMT 2023","Fri Dec 15 02:25:16 GMT 2023","290","API_CALLS","Rename a pet in petstore API","","","","Rename a pet in petstore API",""
"failed","Fri Dec 15 02:50:00 GMT 2023","Fri Dec 15 02:50:31 GMT 2023","30816","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Change input value by clicking on the slider bar","","","","Change input value by clicking on the slider bar",""
