"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Mon Apr 10 02:27:59 GMT 2023","Mon Apr 10 02:28:01 GMT 2023","2359","WIDGET_DISPLAY_AND_MENUS","Open only the selected accordian section on click","","","","Open only the selected accordian section on click",""
"passed","Mon Apr 10 02:28:13 GMT 2023","Mon Apr 10 02:28:17 GMT 2023","4235","WIDGET_DISPLAY_AND_MENUS","Fill all the select fields displayed","","","","Fill all the select fields displayed",""
"passed","Mon Apr 10 02:26:25 GMT 2023","Mon Apr 10 02:26:28 GMT 2023","3432","ADD_DELETE_UPDATE_WEBTABLE_DATA","Upload a file and check file path","","","","Upload a file and check file path",""
"unknown","Mon Apr 10 02:28:41 GMT 2023","Mon Apr 10 02:28:43 GMT 2023","2118","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Change input value by clicking on the slider bar","","","","Change input value by clicking on the slider bar",""
"passed","Mon Apr 10 02:26:13 GMT 2023","Mon Apr 10 02:26:18 GMT 2023","4124","ADD_DELETE_UPDATE_WEBTABLE_DATA","Edit the first entry in the web table","","","","Edit the first entry in the web table",""
"passed","Mon Apr 10 02:27:49 GMT 2023","Mon Apr 10 02:27:55 GMT 2023","5821","FILL_FORMS","Fill a complete form using external json data","","","","Fill a complete form using external json data",""
"unknown","Mon Apr 10 02:27:55 GMT 2023","Mon Apr 10 02:27:55 GMT 2023","1","FRAMES","Check multiple frames are displayed properly","","","","Check multiple frames are displayed properly",""
"passed","Mon Apr 10 02:26:45 GMT 2023","Mon Apr 10 02:26:48 GMT 2023","3419","ALERT_AND_POPUP_DISPLAY","Check different alerts popins are displayed","","","","Check different alerts popins are displayed",""
"passed","Mon Apr 10 02:26:28 GMT 2023","Mon Apr 10 02:26:31 GMT 2023","3246","ADD_DELETE_UPDATE_WEBTABLE_DATA","Download a file online","","","","Download a file online",""
"passed","Mon Apr 10 02:28:46 GMT 2023","Mon Apr 10 02:28:50 GMT 2023","3409","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Click on ""Stop"" to stop the progress bar from filling","","","","Click on ""Stop"" to stop the progress bar from filling",""
"passed","Mon Apr 10 02:28:10 GMT 2023","Mon Apr 10 02:28:13 GMT 2023","3423","WIDGET_DISPLAY_AND_MENUS","Navigate using in-page menu and sub-menu contents on hover","","","","Navigate using in-page menu and sub-menu contents on hover",""
"passed","Mon Apr 10 02:28:31 GMT 2023","Mon Apr 10 02:28:34 GMT 2023","3511","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Check suggestions when using autocomplete on input field","","","","Check suggestions when using autocomplete on input field",""
"unknown","Mon Apr 10 02:28:37 GMT 2023","Mon Apr 10 02:28:39 GMT 2023","2184","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Checking a date via date picker using calendar module","","","","Checking a date via date picker using calendar module",""
"passed","Mon Apr 10 02:25:37 GMT 2023","Mon Apr 10 02:25:37 GMT 2023","31","API_CALLS","Search a pet in petstore API","","","","Search a pet in petstore API",""
"unknown","Mon Apr 10 02:28:34 GMT 2023","Mon Apr 10 02:28:37 GMT 2023","2284","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Checking a date via date picker using input field","","","","Checking a date via date picker using input field",""
"passed","Mon Apr 10 02:28:50 GMT 2023","Mon Apr 10 02:28:54 GMT 2023","3742","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","The button ""Reset"" is visible after the progress bar is at 100%","","","","The button ""Reset"" is visible after the progress bar is at 100%",""
"unknown","Mon Apr 10 02:28:39 GMT 2023","Mon Apr 10 02:28:41 GMT 2023","2199","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Change input value by moving the slider","","","","Change input value by moving the slider",""
"passed","Mon Apr 10 02:27:29 GMT 2023","Mon Apr 10 02:27:32 GMT 2023","3208","CLICK_ON_DIFFERENT_BUTTON_TYPES","Display radio button text when selected","","","","Display radio button text when selected",""
"passed","Mon Apr 10 02:26:09 GMT 2023","Mon Apr 10 02:26:13 GMT 2023","4030","ADD_DELETE_UPDATE_WEBTABLE_DATA","Add a new entry to web table","","","","Add a new entry to web table",""
"passed","Mon Apr 10 02:27:32 GMT 2023","Mon Apr 10 02:27:36 GMT 2023","3693","CLICK_ON_DIFFERENT_BUTTON_TYPES","Display button click when clicked on","","","","Display button click when clicked on",""
