"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 27 02:35:27 GMT 2024","Tue Aug 27 02:35:30 GMT 2024","3293","ADD_DELETE_UPDATE_WEBTABLE_DATA","Upload a file and check file path","","","","Upload a file and check file path",""
"passed","Tue Aug 27 02:36:53 GMT 2024","Tue Aug 27 02:36:58 GMT 2024","4910","UI","popup","","","","Fill a complete form using external json data",""
"skipped","Tue Aug 27 02:34:40 GMT 2024","Tue Aug 27 02:34:40 GMT 2024","1","CONTAINER-MYSQL","Retrieve version Mysql","","","","Retrieve version Mysql",""
"passed","Tue Aug 27 02:38:21 GMT 2024","Tue Aug 27 02:38:24 GMT 2024","3507","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","The button ""Reset"" is visible after the progress bar is at 100%","","","","The button ""Reset"" is visible after the progress bar is at 100%",""
"unknown","Tue Aug 27 02:38:09 GMT 2024","Tue Aug 27 02:38:12 GMT 2024","2242","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Change input value by moving the slider","","","","Change input value by moving the slider",""
"passed","Tue Aug 27 02:36:41 GMT 2024","Tue Aug 27 02:36:49 GMT 2024","7384","UI","popup","","","","Check dynamic elements change properties after 5 seconds",""
"passed","Tue Aug 27 02:35:48 GMT 2024","Tue Aug 27 02:35:51 GMT 2024","2787","ALERT_AND_POPUP_DISPLAY","Check different alerts popins are displayed","","","","Check different alerts popins are displayed",""
"unknown","Tue Aug 27 02:37:10 GMT 2024","Tue Aug 27 02:37:12 GMT 2024","2113","WIDGET_DISPLAY_AND_MENUS","Navigate using in-page tab contents on click","","","","Navigate using in-page tab contents on click",""
"passed","Tue Aug 27 02:35:30 GMT 2024","Tue Aug 27 02:35:33 GMT 2024","3364","ADD_DELETE_UPDATE_WEBTABLE_DATA","Download a file online","","","","Download a file online",""
"passed","Tue Aug 27 02:35:08 GMT 2024","Tue Aug 27 02:35:12 GMT 2024","4258","UI","popup","","","","Check broken links returns an error 500",""
"passed","Tue Aug 27 02:35:16 GMT 2024","Tue Aug 27 02:35:20 GMT 2024","4327","ADD_DELETE_UPDATE_WEBTABLE_DATA","Edit the first entry in the web table","","","","Edit the first entry in the web table",""
"passed","Tue Aug 27 02:36:38 GMT 2024","Tue Aug 27 02:36:41 GMT 2024","3083","UI","popup","","","","Display button click when clicked on",""
"unknown","Tue Aug 27 02:36:58 GMT 2024","Tue Aug 27 02:36:58 GMT 2024","1","FRAMES","Check frames nested are displayed properly","","","","Check frames nested are displayed properly",""
"passed","Tue Aug 27 02:37:12 GMT 2024","Tue Aug 27 02:37:15 GMT 2024","3145","WIDGET_DISPLAY_AND_MENUS","Navigate using in-page menu and sub-menu contents on hover","","","","Navigate using in-page menu and sub-menu contents on hover",""
"unknown","Tue Aug 27 02:38:05 GMT 2024","Tue Aug 27 02:38:07 GMT 2024","2124","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Checking a date via date picker using input field","","","","Checking a date via date picker using input field",""
